DOI,solvent_name,solvent,zn_source,zn_source_mmol,hmim_mmol,stirring,temperature_C,time_min,size_nm,additive,ratio,counterion,zn_source_mM,hmim_mM,Verify
10.1039/c2ce26847g,Water,5555.556,Zn(NO3)2·6H2O,2.5,200.0,Yes,25,1440.0,300.0,-,0.0125,NO3-,0.000449999964,0.0359999971200002,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,-15,60.0,78.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,-5,60.0,59.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,2,60.0,56.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,25,60.0,41.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,40,60.0,30.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,50,60.0,26.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1016/j.micromeso.2015.08.041,Methanol,2471.91,Zn(NO3)2·4H2O,2.48,19.99,Yes,60,60.0,27.0,-,0.1240620310155078,NO3-,0.001003272772876,0.0080868640039483,True
10.1039/c0cc05002d,Water,4444.444,Zn(NO3)2·6H2O,3.933,276.492,Yes,22,5.0,110.0,-,0.0142246430276463,NO3-,0.0008849250884925,0.0622107062210706,True
10.1039/c3cc45308a,Methanol,3460.674,Zn(NO3)2·6H2O,3.449,244.482,Yes,25,60.0,53.0,-,0.0141073780482816,NO3-,0.0009966266686778,0.0706457759384443,True
10.1021/acs.chemmater.6b01087,Methanol,9888.0,Zn(NO3)2·6H2O,9.87,79.04,Yes,25,60.0,90.0,-,0.1248734817813765,NO3-,0.0009981796116504,0.0079935275080906,True
10.1016/j.colsurfa.2017.02.012,Methanol,2471.91,Zn(NO3)2·6H2O,4.941,39.586,Yes,25,60.0,25.0,-,0.1248168544434901,NO3-,0.0019988591817663,0.0160143370915607,True
10.1039/C3CE42485E,Methanol,558.652,Zn(NO3)2·6H2O,1.0,8.0,Yes dropwise,25,60.0,141.0,-,0.125,NO3-,0.0017900231270988,0.0143201850167904,True
10.1039/C3CE42485E,Methanol,558.652,Zn(ClO4)2·6H2O,1.0,8.0,Yes dropwise,25,60.0,224.0,-,0.125,ClO4-,0.0017900231270988,0.0143201850167904,True
10.1039/C3CE42485E,Methanol,558.652,ZnSO4·7H2O,1.0,8.0,Yes dropwise,25,60.0,211.0,-,0.125,SO42-,0.0017900231270988,0.0143201850167904,True
10.1021/acs.cgd.9b01444,Methanol,988.0,Zn(NO3)2·6H2O,1.0,8.0,Yes,25,60.0,100.0,-,0.125,NO3-,0.0010121457489878,0.0080971659919028,True
10.1021/acs.cgd.9b01444,Methanol,988.0,Zn(NO3)2·6H2O,1.0,50.0,Yes,25,60.0,128.0,-,0.02,NO3-,0.0010121457489878,0.0506072874493927,True
10.1021/acs.cgd.9b01444,Methanol,988.0,Zn(NO3)2·6H2O,1.0,100.0,Yes,25,60.0,128.0,-,0.01,NO3-,0.0010121457489878,0.1012145748987854,True
10.1021/jacs.5b11720,Water,712.0,Zn(NO3)2·6H2O,0.66,24.36,Yes,25,15.0,180.0,4348.520,0.0270935960591133,NO3-,0.0009269662921348,0.0342134831460674,True
10.1021/jacs.5b11720,Water,712.0,Zn(NO3)2·6H2O,0.66,24.36,Yes,25,15.0,210.0,13044.480,0.0270935960591133,NO3-,0.0009269662921348,0.0342134831460674,True
10.1039/c4nr00348a,Methanol,1729.0,Zn(NO3)2·6H2O,2.47,19.76,No,25,60.0,50.0,-,0.125,NO3-,0.0014285714285714,0.0114285714285714,True
